"Lokalizacja","Sciezka","Nazwa","SciezkaProgramu","StatusPodpisu","Wydawca","BlockID"
"Harmonogram Zadan","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319","N/A","Brak Podpisu / Nieznany typ","N/A","3a4787f2-5201-42ba-81c1-cbb80117d132"
"Harmonogram Zadan","\Microsoft\Windows\.NET Framework\",".NET Framework NGEN v4.0.30319 64","N/A","Brak Podpisu / Nieznany typ","N/A","12e2ab2d-2386-4963-8747-c2c730b0c938"
